sexo,instrucao,idade,log_saldo_poup_avg,log_tempo_renda,log_renda_liquida,log_tempo_cp
1,medio,25,4.080499155400047,6.591673732008658,7.539027055823995,3.951243718581428
0,medio,38,5.763104287401009,6.875232087276577,8.155362120328135,3.218875824868201
1,medio,31,1.8648550242986053,7.443078374348516,7.208600337960199,4.0943445622221
1,medio,38,9.644014504471569,7.171656822768514,9.152711259139547,5.303304908059076
1,medio,33,3.074543453978281,6.795705775173514,8.004365564979574,4.553876891600541
0,medio,24,8.87122604811435,6.731018100482083,7.824046010856292,2.079441541679836
1,medio,43,5.666236358582231,8.480114183174816,7.529406457837013,5.598421958998375
0,medio,22,0.1988508587451651,7.422373700986824,7.539027055823995,1.0986122886681098
0,superior_pos,40,0.4446858212614455,7.996317231796746,8.445052513638554,4.330733340286331
0,superior_pos,25,0.4054651081081644,7.080867896690782,7.969357742016346,0.6931471805599453
1,superior_pos,25,8.946279769540649,7.676009932028887,7.644919344958857,4.110873864173311
1,medio,27,7.08560853443654,7.331714969726466,7.783224016336037,4.382026634673881
0,medio,30,-2.407945608651872,6.077642243349034,7.160069207596127,4.3694478524670215
1,medio,31,5.232738304235218,6.349138991379798,7.795646536334594,2.8903717578961645
1,medio,26,-0.7133498878774648,6.126869184114185,7.428927194802272,0.6931471805599453
1,superior_pos,24,8.468281269834673,7.643961949002529,6.46302945692067,3.951243718581428
1,medio,31,5.4133410431168185,6.882437470997847,7.263329617476836,5.003946305945459
1,medio,41,6.491057317940845,8.430327258394575,6.875232087276577,5.525452939131784
0,superior_pos,32,6.465561350375669,6.628041376179533,7.155396301896734,3.58351893845611
1,superior_pos,42,5.81672418033434,8.483636407887394,8.676757761087575,5.560681631015528
1,medio,22,6.238178129934624,5.0238805208462765,7.403670290012373,1.6094379124341005
1,superior_pos,36,1.4146388341290332,7.620214770574455,8.45126704130007,4.691347882229144
1,medio,22,5.582367852765768,7.403061091090091,7.503289630675082,3.1354942159291497
0,medio,27,1.5633939739326936,5.459585514144159,7.448333860897476,3.784189633918261
1,medio,21,8.91814479563977,7.778211474512493,6.956545443151569,2.079441541679836
0,superior_pos,26,5.310171823995042,7.337587743538596,7.717351272185329,4.844187086458591
1,medio,38,0.5068176023684519,5.501258210544727,7.716906135298388,0.6931471805599453
0,medio,24,8.843904372127794,7.463363045520021,6.663132695990803,4.624972813284271
0,medio,39,5.31593623863649,6.282266746896006,7.617759576608505,4.795790545596741
1,medio,33,8.569433587161672,7.938088726896952,6.949856455000773,4.59511985013459
0,medio,21,3.193352867637115,5.062595033026967,7.697121317282625,3.4011973816621555
0,medio,23,8.702505272132699,6.413458957167357,7.51479976048867,4.330733340286331
0,medio,32,5.541969178493598,6.306275286948016,7.628031126930335,5.147494476813453
1,superior_pos,38,3.6848714327163976,7.160069207596127,8.99118884193151,5.0238805208462765
0,medio,40,8.930082670548254,7.013915474810528,8.163940954755008,5.303304908059076
1,medio,20,-0.2107210313156525,4.248495242049359,6.70073110954781,2.3978952727983707
